DateAndTime,Time,EP_Cool_Temp_Value,EP_Flow_Meter_Value,EP_Lube_Oil_Press_Value,AUX1_Flow_Meter_Value,AUX2_Flow_Meter_Value,Data_Capture_bit_Value,EP_RPM_Value,STBD_Cool_Temp_Value,STBD_Flow_Meter_Value,STBD_Lube_Oil_Press_Value,STBD_RPM_Value,Scaled_value_from_S7_not_ok_Value
2/6/2026,43:45.1,59.13795,59.13795,59.13795,59.13795,59.13795,TRUE,59.13795,59.13795,59.13795,59.13795,65.68472,1114409870
2/7/2026,53:46.1,5.75103,5.75103,5.75103,5.75103,5.75103,TRUE,5.75103,5.75103,5.75103,5.75103,17.97649,1085802269
2/8/2026,03:47.1,78.23571,78.23571,78.23571,78.23571,78.23571,TRUE,78.23571,78.23571,78.23571,78.23571,84.78248,1117550478
2/9/2026,13:48.1,28.39345,28.39345,28.39345,28.39345,28.39345,TRUE,28.39345,28.39345,28.39345,28.39345,40.54657,1105404967
2/10/2026,23:49.1,101.6377,101.6377,101.6377,101.6377,101.6377,TRUE,101.6377,101.6377,101.6377,101.6377,108.25681,1120617737
2/7/2026,33:50.2,49.98694,49.98694,49.98694,49.98694,49.98694,TRUE,49.98694,49.98694,49.98694,49.98694,62.03155,1112011055
2/7/2026,43:51.2,2.1702,2.1702,2.1702,2.1702,2.1702,TRUE,2.1702,2.1702,2.1702,2.1702,9.00633,1074455438
2/7/2026,53:52.2,63.08048,63.08048,63.08048,63.08048,63.08048,TRUE,63.08048,63.08048,63.08048,63.08048,75.05275,1115443351
2/7/2026,03:53.2,11.42972,11.42972,11.42972,11.42972,11.42972,TRUE,11.42972,11.42972,11.42972,11.42972,18.19351,1094115025
2/7/2026,13:54.3,76.57189,76.57189,76.57189,76.57189,76.57189,TRUE,76.57189,76.57189,76.57189,76.57189,88.50799,1117332404
2/7/2026,23:55.3,27.38069,27.38069,27.38069,27.38069,27.38069,TRUE,27.38069,27.38069,27.38069,27.38069,34.32533,1104874002
2/7/2026,33:56.3,91.32925,91.32925,91.32925,91.32925,91.32925,TRUE,91.32925,91.32925,91.32925,91.32925,103.22918,1119266626
2/7/2026,43:57.3,39.93168,39.93168,39.93168,39.93168,39.93168,TRUE,39.93168,39.93168,39.93168,39.93168,46.87632,1109375203
2/7/2026,53:58.3,100.98664,100.98664,100.98664,100.98664,100.98664,TRUE,100.98664,100.98664,100.98664,100.98664,112.8504,1120532404
2/7/2026,03:59.3,49.76992,49.76992,49.76992,49.76992,49.76992,TRUE,49.76992,49.76992,49.76992,49.76992,56.71456,1111954167
2/7/2026,14:00.4,114.83975,114.83975,114.83975,114.83975,114.83975,TRUE,114.83975,114.83975,114.83975,114.83975,8.17442,1122348108
2/7/2026,24:01.4,64.31026,64.31026,64.31026,64.31026,64.31026,TRUE,64.31026,64.31026,64.31026,64.31026,71.2549,1115725293
2/7/2026,34:02.4,8.53612,8.53612,8.53612,8.53612,8.53612,TRUE,8.53612,8.53612,8.53612,8.53612,20.29137,1091080951
2/7/2026,44:03.4,75.12509,75.12509,75.12509,75.12509,75.12509,TRUE,75.12509,75.12509,75.12509,75.12509,82.1059,1117142775
2/7/2026,54:04.5,17.39777,17.39777,17.39777,17.39777,17.39777,TRUE,17.39777,17.39777,17.39777,17.39777,29.18919,1099640225
2/7/2026,04:05.5,84.74631,84.74631,84.74631,84.74631,84.74631,TRUE,84.74631,84.74631,84.74631,84.74631,91.76329,1118403811
2/7/2026,14:06.5,31.32322,31.32322,31.32322,31.32322,31.32322,TRUE,31.32322,31.32322,31.32322,31.32322,43.07847,1106940967
2/7/2026,24:07.5,100.15473,100.15473,100.15473,100.15473,100.15473,TRUE,100.15473,100.15473,100.15473,100.15473,107.17171,1120423367
2/7/2026,34:08.5,43.72953,43.72953,43.72953,43.72953,43.72953,TRUE,43.72953,43.72953,43.72953,43.72953,55.48478,1110370759
2/7/2026,44:09.6,110.17382,110.17382,110.17382,110.17382,110.17382,TRUE,110.17382,110.17382,110.17382,110.17382,117.1908,1121736553
2/7/2026,54:10.6,53.56777,53.56777,53.56777,53.56777,53.56777,TRUE,53.56777,53.56777,53.56777,53.56777,65.25068,1112949721
2/7/2026,04:11.6,5.09997,5.09997,5.09997,5.09997,5.09997,TRUE,5.09997,5.09997,5.09997,5.09997,12.15312,1084436935
2/7/2026,14:12.6,73.31659,73.31659,73.31659,73.31659,73.31659,TRUE,73.31659,73.31659,73.31659,73.31659,84.96333,1116900997
2/7/2026,24:13.6,26.440269999999998,26.440269999999998,26.440269999999998,26.440269999999998,26.440269999999998,TRUE,26.440269999999998,26.440269999999998,26.440269999999998,26.440269999999998,33.52959,1104380967
2/7/2026,34:14.7,92.08882,92.08882,92.08882,92.08882,92.08882,TRUE,92.08882,92.08882,92.08882,92.08882,103.8079,1119366182
2/7/2026,44:15.7,42.86145,42.86145,42.86145,42.86145,42.86145,TRUE,42.86145,42.86145,42.86145,42.86145,49.95077,1110143203
2/7/2026,54:16.7,106.73767,106.73767,106.73767,106.73767,106.73767,TRUE,106.73767,106.73767,106.73767,106.73767,118.38441,1121286183
2/7/2026,04:17.7,57.83583,57.83583,57.83583,57.83583,57.83583,TRUE,57.83583,57.83583,57.83583,57.83583,64.96132,1114068537
2/7/2026,14:18.7,6.79996,6.79996,6.79996,6.79996,6.79996,TRUE,6.79996,6.79996,6.79996,6.79996,18.33819,1088001972
2/7/2026,24:19.8,77.98252,77.98252,77.98252,77.98252,77.98252,TRUE,77.98252,77.98252,77.98252,77.98252,85.14418,1117517293
2/7/2026,34:20.8,25.06581,25.06581,25.06581,25.06581,25.06581,TRUE,25.06581,25.06581,25.06581,25.06581,36.67638,1103660373
2/7/2026,44:21.8,93.78881,93.78881,93.78881,93.78881,93.78881,TRUE,93.78881,93.78881,93.78881,93.78881,100.95047,1119588997
2/7/2026,54:22.8,38.05084,38.05084,38.05084,38.05084,38.05084,TRUE,38.05084,38.05084,38.05084,38.05084,49.66141,1108882167
2/7/2026,04:23.8,107.31639,107.31639,107.31639,107.31639,107.31639,TRUE,107.31639,107.31639,107.31639,107.31639,114.47805,1121362034
2/7/2026,14:24.9,54.76138,54.76138,54.76138,54.76138,54.76138,TRUE,54.76138,54.76138,54.76138,54.76138,66.29961,1113262610
2/7/2026,24:25.9,6.18507,6.18507,6.18507,6.18507,6.18507,TRUE,6.18507,6.18507,6.18507,6.18507,13.3829,1086712490
2/7/2026,34:26.9,70.92937,70.92937,70.92937,70.92937,70.92937,TRUE,70.92937,70.92937,70.92937,70.92937,82.50377,1116592849
2/7/2026,44:27.9,19.49563,19.49563,19.49563,19.49563,19.49563,TRUE,19.49563,19.49563,19.49563,19.49563,26.65729,1100740077
